schema,count_7cups,count_mindline,prop_7cups,prop_mindline,diff,z,p,p_adj,p_reject,topic
SOCIAL ISOLATION/ALIENATION (SI),223,173,0.3885017421602787,0.22496749024707413,0.1635342519132046,6.501944657233232,7.928827228399652e-11,1.4271889011119373e-09,True,All
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),41,116,0.07142857142857142,0.1508452535760728,-0.07941668214750139,-4.481018025903215,7.428783602543364e-06,6.685905242289028e-05,True,All
FAILURE TO ACHIEVE (FA),104,216,0.18118466898954705,0.2808842652795839,-0.09969959629003683,-4.242654985196864,2.2089089155665704e-05,0.00013253453493399422,True,All
MISTRUST/ABUSE (MA),79,160,0.13763066202090593,0.20806241872561768,-0.07043175670471175,-3.3384290893481094,0.0008425353191186744,0.0037914089360340346,True,All
SUBJUGATION (SB),46,103,0.08013937282229965,0.13394018205461639,-0.05380080923231674,-3.1056365759782882,0.0018986991546331416,0.00683531695667931,True,All
DEFECTIVENESS/SHAME (DS),141,247,0.2456445993031359,0.3211963589076723,-0.07555175960453639,-3.021928310951194,0.002511700248174739,0.007535100744524217,True,All
ABANDONMENT/INSTABILITY (AB),74,69,0.1289198606271777,0.08972691807542263,0.03919294255175507,2.3035961902323088,0.021245321914767187,0.05463082778082991,False,All
EMOTIONAL DEPRIVATION (ED),199,223,0.34668989547038326,0.28998699609882966,0.056702899371553594,2.2145033824131017,0.026794170287344224,0.06028688314652451,False,All
EMOTIONAL INHIBITION (EI),72,70,0.1254355400696864,0.09102730819245773,0.034408231877228676,2.028634480205029,0.042495533887148475,0.08499106777429695,False,All
DEPENDENCE/INCOMPETENCE (DI),61,58,0.10627177700348432,0.0754226267880364,0.030849150215447915,1.968050046387533,0.04906227966695171,0.08831210340051307,False,All
NEGATIVITY/PESSIMISM (NP),135,216,0.23519163763066203,0.2808842652795839,-0.045692627648921846,-1.885358146716706,0.059381500623060496,0.09716972829228081,False,All
ENMESHMENT/UNDEVELOPED SELF (EM),42,39,0.07317073170731707,0.05071521456436931,0.02245551714294776,1.7100468020692943,0.08725721883684026,0.1308858282552604,False,All
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),37,65,0.06445993031358885,0.08452535760728218,-0.02006542729369333,-1.3731549862980723,0.1697041700499582,0.2349750046845575,False,All
ENTITLEMENT/GRANDIOSITY (ET),3,7,0.005226480836236934,0.009102730819245773,-0.0038762499830088393,-0.8174361221183715,0.41367923989093436,0.5318733084312013,False,All
PUNITIVENESS (PU),13,20,0.02264808362369338,0.02600780234070221,-0.0033597187170088284,-0.39342995527861235,0.6940019486778025,0.8328023384133629,False,All
